ok  	digital.vasic.helixqa/cmd/helixqa	1.322s
ok  	digital.vasic.helixqa/cmd/helixqa-bridge	1.918s
ok  	digital.vasic.helixqa/cmd/helixqa-capture-demo	1.827s
?   	digital.vasic.helixqa/cmd/helixqa-concrete-runner	[no test files]
ok  	digital.vasic.helixqa/cmd/helixqa-x11grab	9.797s
ok  	digital.vasic.helixqa/cmd/ocu-dispatch-test	4.941s
ok  	digital.vasic.helixqa/cmd/ocu-probe	5.080s
ok  	digital.vasic.helixqa/cmd/qa-audio-probe	5.367s
ok  	digital.vasic.helixqa/cmd/recording-analyzer	5.689s
ok  	digital.vasic.helixqa/internal/visionserver	5.988s
ok  	digital.vasic.helixqa/pkg/agent/action	6.218s
ok  	digital.vasic.helixqa/pkg/agent/explore	6.166s
ok  	digital.vasic.helixqa/pkg/agent/graph	5.634s
ok  	digital.vasic.helixqa/pkg/agent/ground	5.341s
ok  	digital.vasic.helixqa/pkg/agent/omniparser	5.580s
ok  	digital.vasic.helixqa/pkg/agent/sglang	2.842s
ok  	digital.vasic.helixqa/pkg/agent/uitars	2.972s
ok  	digital.vasic.helixqa/pkg/analysis	2.949s
ok  	digital.vasic.helixqa/pkg/analysis/pelt	2.954s
ok  	digital.vasic.helixqa/pkg/audio	3.626s
ok  	digital.vasic.helixqa/pkg/autonomous	16.426s
ok  	digital.vasic.helixqa/pkg/bridge/dbusportal	2.984s
ok  	digital.vasic.helixqa/pkg/bridge/scrcpy	3.281s
ok  	digital.vasic.helixqa/pkg/bridge/sidecarutil	10.101s
ok  	digital.vasic.helixqa/pkg/bridges	2.953s
ok  	digital.vasic.helixqa/pkg/bridges/allure	2.835s
ok  	digital.vasic.helixqa/pkg/bridges/appium	2.825s
ok  	digital.vasic.helixqa/pkg/bridges/perfetto	2.838s
ok  	digital.vasic.helixqa/pkg/bridges/scrcpy	2.807s
ok  	digital.vasic.helixqa/pkg/capture	4.063s
ok  	digital.vasic.helixqa/pkg/capture/android	2.744s
ok  	digital.vasic.helixqa/pkg/capture/frames	2.759s
ok  	digital.vasic.helixqa/pkg/capture/linux	2.693s
ok  	digital.vasic.helixqa/pkg/config	2.677s
ok  	digital.vasic.helixqa/pkg/controller	2.797s
ok  	digital.vasic.helixqa/pkg/detector	3.142s
ok  	digital.vasic.helixqa/pkg/discovery	13.269s
ok  	digital.vasic.helixqa/pkg/distributed	3.016s
ok  	digital.vasic.helixqa/pkg/evidence	2.394s
ok  	digital.vasic.helixqa/pkg/gpu/infer	2.525s
ok  	digital.vasic.helixqa/pkg/gst	2.797s
ok  	digital.vasic.helixqa/pkg/helixqa	2.779s
ok  	digital.vasic.helixqa/pkg/infra	2.731s
ok  	digital.vasic.helixqa/pkg/issuedetector	2.855s
ok  	digital.vasic.helixqa/pkg/learning	3.418s
ok  	digital.vasic.helixqa/pkg/llm	3.245s
ok  	digital.vasic.helixqa/pkg/maestro	3.008s
ok  	digital.vasic.helixqa/pkg/memory	3.142s
ok  	digital.vasic.helixqa/pkg/navigator	5.652s
ok  	digital.vasic.helixqa/pkg/navigator/linux/libei	3.054s
ok  	digital.vasic.helixqa/pkg/navigator/linux/uinput	3.136s
ok  	digital.vasic.helixqa/pkg/nexus	3.236s
ok  	digital.vasic.helixqa/pkg/nexus/a11y	2.796s
ok  	digital.vasic.helixqa/pkg/nexus/agent	2.956s
ok  	digital.vasic.helixqa/pkg/nexus/ai	3.054s
ok  	digital.vasic.helixqa/pkg/nexus/automation	3.353s
ok  	digital.vasic.helixqa/pkg/nexus/automation/agent_bridge	3.303s
ok  	digital.vasic.helixqa/pkg/nexus/automation/verifier	2.975s
ok  	digital.vasic.helixqa/pkg/nexus/browser	3.081s
ok  	digital.vasic.helixqa/pkg/nexus/capture	2.992s
ok  	digital.vasic.helixqa/pkg/nexus/capture/android	3.013s
ok  	digital.vasic.helixqa/pkg/nexus/capture/linux	2.700s
ok  	digital.vasic.helixqa/pkg/nexus/capture/web	2.696s
ok  	digital.vasic.helixqa/pkg/nexus/coordinate	2.944s
ok  	digital.vasic.helixqa/pkg/nexus/desktop	3.147s
ok  	digital.vasic.helixqa/pkg/nexus/interact	3.297s
ok  	digital.vasic.helixqa/pkg/nexus/interact/android	3.269s
ok  	digital.vasic.helixqa/pkg/nexus/interact/linux	3.132s
ok  	digital.vasic.helixqa/pkg/nexus/interact/verify	3.240s
ok  	digital.vasic.helixqa/pkg/nexus/interact/web	3.535s
ok  	digital.vasic.helixqa/pkg/nexus/mobile	3.633s
ok  	digital.vasic.helixqa/pkg/nexus/native/budget	3.587s
ok  	digital.vasic.helixqa/pkg/nexus/native/contracts	3.563s
ok  	digital.vasic.helixqa/pkg/nexus/native/probe	3.907s
ok  	digital.vasic.helixqa/pkg/nexus/native/remote	3.696s
ok  	digital.vasic.helixqa/pkg/nexus/observability	3.430s
ok  	digital.vasic.helixqa/pkg/nexus/observe	3.742s
ok  	digital.vasic.helixqa/pkg/nexus/observe/ax_tree	3.973s
ok  	digital.vasic.helixqa/pkg/nexus/observe/axtree	4.141s
ok  	digital.vasic.helixqa/pkg/nexus/observe/cdp	3.926s
ok  	digital.vasic.helixqa/pkg/nexus/observe/dbus	3.977s
ok  	digital.vasic.helixqa/pkg/nexus/observe/ld_preload	3.874s
ok  	digital.vasic.helixqa/pkg/nexus/observe/plthook	3.986s
ok  	digital.vasic.helixqa/pkg/nexus/orchestrator	3.820s
ok  	digital.vasic.helixqa/pkg/nexus/perf	3.747s
ok  	digital.vasic.helixqa/pkg/nexus/primitives	4.107s
ok  	digital.vasic.helixqa/pkg/nexus/record	3.930s
ok  	digital.vasic.helixqa/pkg/nexus/record/encoder	3.846s
ok  	digital.vasic.helixqa/pkg/nexus/record/encoder/nvenc	3.695s
ok  	digital.vasic.helixqa/pkg/nexus/record/encoder/vaapi	3.654s
ok  	digital.vasic.helixqa/pkg/nexus/record/encoder/x264	3.526s
ok  	digital.vasic.helixqa/pkg/nexus/record/webrtc	3.431s
ok  	digital.vasic.helixqa/pkg/nexus/userflow	3.096s
ok  	digital.vasic.helixqa/pkg/nexus/vision	3.254s
ok  	digital.vasic.helixqa/pkg/nexus/vision/cpu	3.040s
ok  	digital.vasic.helixqa/pkg/observe/frida	3.026s
ok  	digital.vasic.helixqa/pkg/opensource	2.962s
ok  	digital.vasic.helixqa/pkg/orchestrator	2.931s
ok  	digital.vasic.helixqa/pkg/performance	2.917s
ok  	digital.vasic.helixqa/pkg/planning	2.748s
ok  	digital.vasic.helixqa/pkg/regression	2.881s
ok  	digital.vasic.helixqa/pkg/replay	2.834s
ok  	digital.vasic.helixqa/pkg/reporter	2.946s
ok  	digital.vasic.helixqa/pkg/reproduce	2.670s
ok  	digital.vasic.helixqa/pkg/screenshot	2.833s
ok  	digital.vasic.helixqa/pkg/session	3.097s
ok  	digital.vasic.helixqa/pkg/streaming	2.357s
ok  	digital.vasic.helixqa/pkg/testbank	2.557s
ok  	digital.vasic.helixqa/pkg/ticket	2.643s
ok  	digital.vasic.helixqa/pkg/training	2.779s
?   	digital.vasic.helixqa/pkg/types	[no test files]
ok  	digital.vasic.helixqa/pkg/validator	2.812s
?   	digital.vasic.helixqa/pkg/validators	[no test files]
ok  	digital.vasic.helixqa/pkg/video	3.003s
ok  	digital.vasic.helixqa/pkg/vision	4.159s
ok  	digital.vasic.helixqa/pkg/vision/cheaper	3.426s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/adapters	2.977s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/adapters/glm4v	2.541s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/adapters/omniparser	2.571s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/adapters/qwen25vl	2.430s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/adapters/showui	2.443s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/adapters/uitars	2.577s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/cache	3.042s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/learning	2.746s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/memory	2.972s
ok  	digital.vasic.helixqa/pkg/vision/cheaper/wire	2.075s
ok  	digital.vasic.helixqa/pkg/vision/flow	2.386s
ok  	digital.vasic.helixqa/pkg/vision/hash	3.121s
ok  	digital.vasic.helixqa/pkg/vision/perceptual	2.845s
ok  	digital.vasic.helixqa/pkg/vision/template	3.692s
ok  	digital.vasic.helixqa/pkg/vision/text	3.099s
ok  	digital.vasic.helixqa/pkg/visionnav	3.080s
ok  	digital.vasic.helixqa/pkg/visual	3.066s
ok  	digital.vasic.helixqa/scripts/anti-bluff/tests/fixtures	2.734s
ok  	digital.vasic.helixqa/tests/benchmark	2.833s [no tests to run]
ok  	digital.vasic.helixqa/tests/e2e	9.100s
ok  	digital.vasic.helixqa/tests/security	2.755s
ok  	digital.vasic.helixqa/tests/stress	2.919s
?   	digital.vasic.helixqa/tools/opensource/unstructured/example-docs	[no test files]
