ok  	digital.vasic.llmprovider	4.133s
ok  	digital.vasic.llmprovider/pkg/apikeys	1.692s
ok  	digital.vasic.llmprovider/pkg/circuit	2.603s
ok  	digital.vasic.llmprovider/pkg/discovery	2.341s
ok  	digital.vasic.llmprovider/pkg/health	3.466s
?   	digital.vasic.llmprovider/pkg/http	[no test files]
ok  	digital.vasic.llmprovider/pkg/models	2.618s
?   	digital.vasic.llmprovider/pkg/provider	[no test files]
ok  	digital.vasic.llmprovider/pkg/providers/ai21	8.566s
ok  	digital.vasic.llmprovider/pkg/providers/anthropic	8.900s
ok  	digital.vasic.llmprovider/pkg/providers/cerebras	12.618s
ok  	digital.vasic.llmprovider/pkg/providers/chutes	10.067s
ok  	digital.vasic.llmprovider/pkg/providers/claude	13.563s
ok  	digital.vasic.llmprovider/pkg/providers/cloudflare	4.411s
ok  	digital.vasic.llmprovider/pkg/providers/codestral	4.082s
ok  	digital.vasic.llmprovider/pkg/providers/cohere	9.395s
ok  	digital.vasic.llmprovider/pkg/providers/deepseek	5.212s
ok  	digital.vasic.llmprovider/pkg/providers/fireworks	10.506s
ok  	digital.vasic.llmprovider/pkg/providers/gemini	12.164s
ok  	digital.vasic.llmprovider/pkg/providers/generic	1.502s
ok  	digital.vasic.llmprovider/pkg/providers/githubmodels	7.225s
ok  	digital.vasic.llmprovider/pkg/providers/groq	6.828s
ok  	digital.vasic.llmprovider/pkg/providers/huggingface	6.680s
ok  	digital.vasic.llmprovider/pkg/providers/hyperbolic	1.810s
ok  	digital.vasic.llmprovider/pkg/providers/junie	1.493s
ok  	digital.vasic.llmprovider/pkg/providers/kilo	1.752s
ok  	digital.vasic.llmprovider/pkg/providers/kimi	3.390s
ok  	digital.vasic.llmprovider/pkg/providers/mistral	20.507s
ok  	digital.vasic.llmprovider/pkg/providers/modal	2.104s
ok  	digital.vasic.llmprovider/pkg/providers/nia	1.448s
ok  	digital.vasic.llmprovider/pkg/providers/nlpcloud	2.719s
ok  	digital.vasic.llmprovider/pkg/providers/novita	3.392s
ok  	digital.vasic.llmprovider/pkg/providers/nvidia	3.995s
ok  	digital.vasic.llmprovider/pkg/providers/ollama	25.839s
ok  	digital.vasic.llmprovider/pkg/providers/openai	8.833s
ok  	digital.vasic.llmprovider/pkg/providers/openrouter	5.270s
ok  	digital.vasic.llmprovider/pkg/providers/perplexity	9.484s
ok  	digital.vasic.llmprovider/pkg/providers/publicai	6.530s
ok  	digital.vasic.llmprovider/pkg/providers/qwen	14.541s
ok  	digital.vasic.llmprovider/pkg/providers/replicate	13.286s
ok  	digital.vasic.llmprovider/pkg/providers/sambanova	5.047s
ok  	digital.vasic.llmprovider/pkg/providers/sarvam	5.145s
ok  	digital.vasic.llmprovider/pkg/providers/siliconflow	4.914s
ok  	digital.vasic.llmprovider/pkg/providers/together	9.233s
ok  	digital.vasic.llmprovider/pkg/providers/upstage	2.909s
ok  	digital.vasic.llmprovider/pkg/providers/venice	7.719s
ok  	digital.vasic.llmprovider/pkg/providers/vulavula	1.334s
ok  	digital.vasic.llmprovider/pkg/providers/xai	6.694s
ok  	digital.vasic.llmprovider/pkg/providers/zai	9.586s
ok  	digital.vasic.llmprovider/pkg/providers/zen	2.861s
ok  	digital.vasic.llmprovider/pkg/providers/zhipu	2.896s
ok  	digital.vasic.llmprovider/pkg/retry	2.449s
